,Year,Disaster Subgroup,Disaster Type,Event Name,ISO,Country,Region,Continent,Latitude,Longitude,Local Time,Total Damages ('000 US$)
9981,2005,Geophysical,Earthquake,,TUR,Turkey,Western Asia,Asia,39.22,41.08,,
9982,2005,Hydrological,Flood,,TUR,Turkey,Western Asia,Asia,,,,
9983,2005,Meteorological,Storm,Talim,TWN,Taiwan,Eastern Asia,Asia,,,,38000.0
9984,2005,Meteorological,Storm,Longwang,TWN,Taiwan,Eastern Asia,Asia,,,,100000.0
9985,2005,Geophysical,Earthquake,,TZA,Tanzania,Eastern Africa,Africa,-6.224,29.83,,
9986,2005,Biological,Epidemic,Cholera,TZA,Tanzania,Eastern Africa,Africa,,,,
9987,2005,Biological,Epidemic,Cholera,UGA,Uganda,Eastern Africa,Africa,,,,
9988,2005,Biological,Epidemic,Meningococcal disease,UGA,Uganda,Eastern Africa,Africa,,,,
9989,2005,Climatological,Drought,,UGA,Uganda,Eastern Africa,Africa,,,,
9990,2005,Meteorological,Storm,,URY,Uruguay,South America,Americas,,,,
9991,2005,Meteorological,Storm,,USA,United States of America,Northern America,Americas,,,,
9992,2005,Meteorological,Storm,,USA,United States of America,Northern America,Americas,,,,
9993,2005,Meteorological,Storm,"Hurricane ""Dennis""",USA,United States of America,Northern America,Americas,,,,2230000.0
9994,2005,Meteorological,Extreme temperature ,,USA,United States of America,Northern America,Americas,,,,
9995,2005,Climatological,Wildfire,,USA,United States of America,Northern America,Americas,,,,100000.0
9996,2005,Meteorological,Storm,Emily,VCT,Saint Vincent and the Grenadines,Caribbean,Americas,,,,
9997,2005,Hydrological,Flood,,VEN,Venezuela,South America,Americas,,,,
9998,2005,Hydrological,Flood,,VEN,Venezuela,South America,Americas,,,,
9999,2005,Hydrological,Flood,,VNM,Vietnam,South-Eastern Asia,Asia,,,,12000.0
10000,2005,Hydrological,Flood,,VNM,Vietnam,South-Eastern Asia,Asia,,,,
10001,2005,Hydrological,Flood,,VNM,Vietnam,South-Eastern Asia,Asia,,,,15000.0
10002,2005,Meteorological,Storm,Kai Tak (21),VNM,Vietnam,South-Eastern Asia,Asia,,,,11000.0
10003,2005,Climatological,Drought,,VNM,Vietnam,South-Eastern Asia,Asia,,,,42120.0
10004,2005,Biological,Epidemic,Acute Neurological Syndrome,VNM,Vietnam,South-Eastern Asia,Asia,,,,
10005,2005,Geophysical,Volcanic activity,Mt. Ambae,VUT,Vanuatu,Melanesia,Oceania,-16.507,168.346,,
10006,2005,Hydrological,Flood,,YEM,Yemen,Western Asia,Asia,,,,
10007,2005,Hydrological,Landslide,,YEM,Yemen,Western Asia,Asia,,,,
10008,2005,Biological,Epidemic,Poliomyelitis,YEM,Yemen,Western Asia,Asia,,,,
10009,2005,Geophysical,Earthquake,,COD,Democratic Republic of Congo,Middle Africa,Africa,-6.224,29.83,,
10010,2006,Hydrological,Flood,,USA,United States of America,Northern America,Americas,37.69,-99.99,,259000.0
10011,2006,Hydrological,Flood,,USA,United States of America,Northern America,Americas,22.15,-99.99,,12000.0
10012,2006,Meteorological,Storm,Shanshan (13),JPN,Japan,Eastern Asia,Asia,,,,2500000.0
10013,2006,Meteorological,Storm,John,MEX,Mexico,Central America,Americas,25.35,-111.81,,
10014,2006,Meteorological,Storm,Lane,MEX,Mexico,Central America,Americas,24.47,-107.04,,2700.0
10015,2006,Meteorological,Storm,Chanchu (Caloy),PHL,Philippines,South-Eastern Asia,Asia,,,,3328.0
10016,2006,Meteorological,Storm,Bilis,PHL,Philippines,South-Eastern Asia,Asia,24,112.11,,3000.0
10017,2006,Meteorological,Storm,Xangsane (Milenyo),PHL,Philippines,South-Eastern Asia,Asia,16.68,107.21,,113000.0
10018,2006,Meteorological,Storm,Cimaron (Paeng),PHL,Philippines,South-Eastern Asia,Asia,17.02,121.82,,9077.0
10019,2006,Meteorological,Storm,Bilis,VNM,Vietnam,South-Eastern Asia,Asia,24,112.11,,
10020,2006,Geophysical,Earthquake,,USA,United States of America,Northern America,Americas,19.878,-155.935,,150000.0
10021,2006,Hydrological,Flood,,PAN,Panama,Central America,Americas,8.9,-78.71,,
10022,2006,Hydrological,Flood,,PAK,Pakistan,Southern Asia,Asia,,,,
10023,2006,Meteorological,Storm,Durian (Reming),PHL,Philippines,South-Eastern Asia,Asia,10.33,106.74,,66400.0
10024,2006,Climatological,Drought,,TZA,Tanzania,Eastern Africa,Africa,,,,
10025,2006,Hydrological,Flood,,JAM,Jamaica,Caribbean,Americas,,,,
10026,2006,Hydrological,Flood,,JPN,Japan,Eastern Asia,Asia,35.34,136.22,,
10027,2006,Hydrological,Flood,,JPN,Japan,Eastern Asia,Asia,31.54,130.99,,
10028,2006,Hydrological,Flood,,KOR,South Korea,Eastern Asia,Asia,37.56,127.17,,
10029,2006,Hydrological,Flood,,LKA,Sri Lanka,Southern Asia,Asia,7.32,80.03,,3000.0
10030,2006,Hydrological,Flood,,MKD,North Macedonia,Southern Europe,Europe,,,,
10031,2006,Hydrological,Flood,,MYS,Malaysia,South-Eastern Asia,Asia,1.87,103.22,,22000.0
10032,2006,Hydrological,Flood,,PAK,Pakistan,Southern Asia,Asia,34.61,73.2,,
10033,2006,Hydrological,Flood,,PAK,Pakistan,Southern Asia,Asia,,,,
10034,2006,Hydrological,Flood,,PAN,Panama,Central America,Americas,,,,
10035,2006,Hydrological,Flood,,PHL,Philippines,South-Eastern Asia,Asia,12.44,124.77,,3395.0
10036,2006,Meteorological,Storm,Queenie (Chebi),PHL,Philippines,South-Eastern Asia,Asia,,,,
10037,2006,Hydrological,Flood,,PHL,Philippines,South-Eastern Asia,Asia,,,,
10038,2006,Hydrological,Flood,,PNG,Papua New Guinea,Melanesia,Oceania,-4.26,143.22,,
10039,2006,Hydrological,Landslide,,PNG,Papua New Guinea,Melanesia,Oceania,-6.16,143.7,,
10040,2006,Hydrological,Flood,,PRK,North Korea,Eastern Asia,Asia,37.56,127.17,,
10041,2006,Hydrological,Flood,,PRT,Portugal,Southern Europe,Europe,41.65,-7.87,,
10042,2006,Hydrological,Flood,,ROU,Romania,Eastern Europe,Europe,47.15,47.46,,
10043,2006,Hydrological,Flood,,SCG,Serbia,Southern Europe,Europe,45.26,20.75,,
10044,2006,Hydrological,Flood,,THA,Thailand,South-Eastern Asia,Asia,18.18,100.15,,25000.0
10045,2006,Hydrological,Flood,,THA,Thailand,South-Eastern Asia,Asia,18.76,100.02,,9940.0
10046,2006,Hydrological,Landslide,,TJK,Tajikistan,Central Asia,Asia,,,,
10047,2006,Hydrological,Flood,,USA,United States of America,Northern America,Americas,40.41,-75.78,,1000000.0
10048,2006,Hydrological,Flood,,VNM,Vietnam,South-Eastern Asia,Asia,,,,
10049,2006,Hydrological,Flood,,VNM,Vietnam,South-Eastern Asia,Asia,17.76,106.15,,8000.0
10050,2006,Hydrological,Flood,,PRK,North Korea,Eastern Asia,Asia,,,,
10051,2006,Hydrological,Flood,,NAM,Namibia,Southern Africa,Africa,-24.53,17.98,,8490.0
10052,2006,Hydrological,Flood,,NGA,Nigeria,Western Africa,Africa,,,,
10053,2006,Hydrological,Flood,,PHL,Philippines,South-Eastern Asia,Asia,7.61,125.83,,763.0
10054,2006,Hydrological,Flood,,ROU,Romania,Eastern Europe,Europe,44.5,23.87,,
10055,2006,Hydrological,Flood,,RUS,Russia,Eastern Europe,Europe,58.33,114.58,,125000.0
10056,2006,Hydrological,Flood,,SDN,Sudan,Northern Africa,Africa,,,,
10057,2006,Hydrological,Flood,,SCG,Serbia,Southern Europe,Europe,42.6,20.83,,
10058,2006,Hydrological,Flood,,UKR,Ukraine,Eastern Europe,Europe,44.5,23.87,,
10059,2006,Hydrological,Flood,,UKR,Ukraine,Eastern Europe,Europe,45.09,34.62,,23855.0
10060,2006,Meteorological,Storm,,USA,United States of America,Northern America,Americas,,,,600000.0
10061,2006,Meteorological,Storm,,USA,United States of America,Northern America,Americas,,,,1600000.0
10062,2006,Meteorological,Storm,,USA,United States of America,Northern America,Americas,,,,450000.0
10063,2006,Meteorological,Storm,,VNM,Vietnam,South-Eastern Asia,Asia,,,,10000.0
10064,2006,Meteorological,Storm,,VNM,Vietnam,South-Eastern Asia,Asia,,,,
10065,2006,Hydrological,Flood,,KHM,Cambodia,South-Eastern Asia,Asia,11.06,104.68,,
10066,2006,Meteorological,Storm,Bondo,MDG,Madagascar,Eastern Africa,Africa,,,,
10067,2006,Hydrological,Flood,,PER,Peru,South America,Americas,,,,
10068,2006,Meteorological,Storm,Kaemi,PHL,Philippines,South-Eastern Asia,Asia,26.39,117.39,,471.0
10069,2006,Meteorological,Storm,Henry,PHL,Philippines,South-Eastern Asia,Asia,15.86,120.74,,645.0
10070,2006,Hydrological,Flood,,ROU,Romania,Eastern Europe,Europe,,,,
10071,2006,Hydrological,Flood,,ROU,Romania,Eastern Europe,Europe,,,,
10072,2006,Hydrological,Flood,,USA,United States of America,Northern America,Americas,43.16,-70.79,,85000.0
10073,2006,Hydrological,Flood,,USA,United States of America,Northern America,Americas,37.21,-87.62,,
10074,2006,Meteorological,Storm,,USA,United States of America,Northern America,Americas,,,,
10075,2006,Hydrological,Flood,,YEM,Yemen,Western Asia,Asia,15.1,43.88,,
10076,2006,Meteorological,Storm,,JPN,Japan,Eastern Asia,Asia,,,,
10077,2006,Climatological,Drought,,LTU,Lithuania,Northern Europe,Europe,,,,225573.0
10078,2006,Meteorological,Storm,Paul,MEX,Mexico,Central America,Americas,24.93,-107.53,,
10079,2006,Meteorological,Storm,Mala,MMR,Myanmar,South-Eastern Asia,Asia,18.37,94.95,,
10080,2006,Hydrological,Landslide,,NPL,Nepal,Southern Asia,Asia,28.69,81.31,,
10081,2006,Meteorological,Storm,,USA,United States of America,Northern America,Americas,,,,1200000.0
10082,2006,Meteorological,Storm,,USA,United States of America,Northern America,Americas,,,,95000.0
10083,2006,Meteorological,Storm,,USA,United States of America,Northern America,Americas,,,,300000.0
10084,2006,Meteorological,Storm,Ernesto,USA,United States of America,Northern America,Americas,34.74,-77.87,,32860.0
10085,2006,Meteorological,Storm,Durian (Reming),VNM,Vietnam,South-Eastern Asia,Asia,10.33,106.74,,456000.0
10086,2006,Meteorological,Storm,,COD,Democratic Republic of Congo,Middle Africa,Africa,,,,
10087,2006,Climatological,Drought,,MLI,Mali,Western Africa,Africa,,,,
10088,2006,Meteorological,Storm,,KGZ,Kyrgyzstan,Central Asia,Asia,,,,
10089,2006,Meteorological,Storm,,ITA,Italy,Southern Europe,Europe,,,,
10090,2006,Hydrological,Landslide,,ITA,Italy,Southern Europe,Europe,,,,
10091,2006,Biological,Epidemic,,JAM,Jamaica,Caribbean,Americas,,,,
10092,2006,Meteorological,Storm,,JPN,Japan,Eastern Asia,Asia,,,,
10093,2006,Hydrological,Flood,,KEN,Kenya,Eastern Africa,Africa,2.25,37.53,,
10094,2006,Hydrological,Flood,,KEN,Kenya,Eastern Africa,Africa,,,,
10095,2006,Hydrological,Flood,,KEN,Kenya,Eastern Africa,Africa,-3.24,40.01,,
10096,2006,Hydrological,Flood,,KEN,Kenya,Eastern Africa,Africa,,,,
10097,2006,Biological,Epidemic,Meningococcal disease,KEN,Kenya,Eastern Africa,Africa,,,,
10098,2006,Biological,Epidemic,Disentery,KEN,Kenya,Eastern Africa,Africa,,,,
10099,2006,Biological,Epidemic,Rift Valley Fever,KEN,Kenya,Eastern Africa,Africa,,,,
10100,2006,Geophysical,Earthquake,,KGZ,Kyrgyzstan,Central Asia,Asia,42.156,76.163,02:00,
10101,2006,Hydrological,Flood,,KHM,Cambodia,South-Eastern Asia,Asia,11.43,103.53,,
10102,2006,Biological,Epidemic,Dengue,KHM,Cambodia,South-Eastern Asia,Asia,,,,
10103,2006,Hydrological,Flood,,MAR,Morocco,Northern Africa,Africa,32.15,-4.05,,
10104,2006,Hydrological,Flood,,MAR,Morocco,Northern Africa,Africa,,,,
10105,2006,Hydrological,Flood,,MAR,Morocco,Northern Africa,Africa,,,,
10106,2006,Meteorological,Storm,Boloetse,MDG,Madagascar,Eastern Africa,Africa,,,,
10107,2006,Hydrological,Flood,,MEX,Mexico,Central America,Americas,31.76,-106.39,,
10108,2006,Hydrological,Landslide,,MEX,Mexico,Central America,Americas,,,,
10109,2006,Hydrological,Landslide,,MEX,Mexico,Central America,Americas,,,,
10110,2006,Meteorological,Extreme temperature ,,MEX,Mexico,Central America,Americas,,,,
10111,2006,Hydrological,Flood,,MLI,Mali,Western Africa,Africa,14.42,-1.02,,
10112,2006,Biological,Epidemic,,MLI,Mali,Western Africa,Africa,,,,
10113,2006,Hydrological,Flood,,MMR,Myanmar,South-Eastern Asia,Asia,19.91,95.45,,
10114,2006,Geophysical,Earthquake,,MOZ,Mozambique,Eastern Africa,Africa,-21.324,33.583,12:19,
10115,2006,Biological,Epidemic,Cholera,MOZ,Mozambique,Eastern Africa,Africa,,,,
10116,2006,Hydrological,Flood,,MRT,Mauritania,Western Africa,Africa,14.42,-1.02,,
10117,2006,Hydrological,Flood,,MRT,Mauritania,Western Africa,Africa,17.75,-15,,
10118,2006,Geophysical,Volcanic activity,Soufriere,MSR,Montserrat,Caribbean,Americas,,,,
10119,2006,Hydrological,Flood,,MWI,Malawi,Eastern Africa,Africa,-15.96,34.51,,
10120,2006,Hydrological,Flood,,MWI,Malawi,Eastern Africa,Africa,-14.59,35.12,,
10121,2006,Biological,Epidemic,Cholera,MWI,Malawi,Eastern Africa,Africa,,,,
10122,2006,Hydrological,Flood,,MYS,Malaysia,South-Eastern Asia,Asia,,,,
10123,2006,Hydrological,Flood,,MYS,Malaysia,South-Eastern Asia,Asia,4.33,102.54,,
10124,2006,Hydrological,Flood,,MYS,Malaysia,South-Eastern Asia,Asia,5.27,102.15,,
10125,2006,Hydrological,Flood,,NAM,Namibia,Southern Africa,Africa,,,,
10126,2006,Biological,Epidemic,Polio,NAM,Namibia,Southern Africa,Africa,,,,
10127,2006,Hydrological,Flood,,NER,Niger,Western Africa,Africa,,,,
10128,2006,Biological,Epidemic,Meningococcal disease,NER,Niger,Western Africa,Africa,,,,
10129,2006,Biological,Epidemic,Cholera,NER,Niger,Western Africa,Africa,,,,
10130,2006,Hydrological,Flood,,NGA,Nigeria,Western Africa,Africa,14.42,-1.02,,
10131,2006,Hydrological,Flood,,NGA,Nigeria,Western Africa,Africa,6.94,6.35,,
