,Year,Disaster Subgroup,Disaster Type,Event Name,ISO,Country,Region,Continent,Latitude,Longitude,Local Time,Total Damages ('000 US$)
0,1900,Climatological,Drought,,CPV,Cabo Verde,Western Africa,Africa,,,,
1,1900,Climatological,Drought,,IND,India,Southern Asia,Asia,,,,
2,1902,Geophysical,Earthquake,,GTM,Guatemala,Central America,Americas,14,-91,20:20,25000.0
3,1902,Geophysical,Volcanic activity,Santa Maria,GTM,Guatemala,Central America,Americas,,,,
4,1902,Geophysical,Volcanic activity,Santa Maria,GTM,Guatemala,Central America,Americas,,,,
5,1903,Geophysical,Mass movement (dry),,CAN,Canada,Northern America,Americas,,,,
6,1903,Geophysical,Volcanic activity,Mount Karthala,COM,Comoros,Eastern Africa,Africa,,,,
7,1904,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,
8,1905,Geophysical,Mass movement (dry),,CAN,Canada,Northern America,Americas,,,,
9,1905,Geophysical,Earthquake,,IND,India,Southern Asia,Asia,32.04,76.16,06:20,25000.0
10,1906,Geophysical,Earthquake,,CHL,Chile,South America,Americas,33.05,71.4,19:57,100000.0
11,1906,Geophysical,Earthquake,,COL,Colombia,South America,Americas,1.51 N,78.46 W ,,
12,1906,Hydrological,Flood,,BEL,Belgium,Western Europe,Europe,,,,
13,1906,Hydrological,Flood,,BEL,Belgium,Western Europe,Europe,,,,
14,1906,Meteorological,Storm,,HKG,Hong Kong,Eastern Asia,Asia,,,,20000.0
15,1907,Geophysical,Earthquake,,CHN,China,Eastern Asia,Asia,38.5,69.9,09:23,
16,1907,Biological,Epidemic,Bubonic,IND,India,Southern Asia,Asia,,,,
17,1908,Geophysical,Mass movement (dry),,CAN,Canada,Northern America,Americas,,,,
18,1909,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,
19,1909,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,
20,1909,Biological,Epidemic,Bubonic,CHN,China,Eastern Asia,Asia,,,,
21,1909,Geophysical,Earthquake,,FRA,France,Western Europe,Europe,44.05,6.14,21:15,
22,1909,Meteorological,Storm,,HTI,Haiti,Caribbean,Americas,,,,
23,1909,Biological,Epidemic,Bubonic,IDN,Indonesia,South-Eastern Asia,Asia,,,,
24,1910,Climatological,Drought,,BFA,Burkina Faso,Western Africa,Africa,,,,
25,1910,Hydrological,Landslide,,CAN,Canada,Northern America,Americas,,,,
26,1910,Biological,Epidemic,Pneumonic,CHN,China,Eastern Asia,Asia,,,,
27,1910,Climatological,Drought,,CPV,Cabo Verde,Western Africa,Africa,,,,
28,1910,Geophysical,Earthquake,,CRI,Costa Rica,Central America,Americas,9.8,-84,,
29,1910,Geophysical,Earthquake,,DZA,Algeria,Northern Africa,Africa,36,4,13:36,
30,1910,Climatological,Drought,,GMB,Gambia,Western Africa,Africa,,,,
31,1910,Climatological,Drought,,GNB,Guinea-Bissau,Western Africa,Africa,,,,
32,1911,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,
33,1911,Climatological,Wildfire,,CAN,Canada,Northern America,Americas,,,,
34,1911,Hydrological,Flood,,CHN,China,Eastern Asia,Asia,,,,
35,1912,Meteorological,Storm,,CAN,Canada,Northern America,Americas,,,,5000.0
36,1912,Meteorological,Storm,,CHN,China,Eastern Asia,Asia,,,,
37,1914,Geophysical,Earthquake,,IDN,Indonesia,South-Eastern Asia,Asia,-3.924,101.82,03:07,
38,1915,Hydrological,Landslide,,CAN,Canada,Northern America,Americas,,,,
39,1915,Hydrological,Flood,,CHN,China,Eastern Asia,Asia,,,,
40,1915,Meteorological,Storm,,HTI,Haiti,Caribbean,Americas,,,,
41,1916,Meteorological,Storm,,IND,India,Southern Asia,Asia,,,,
42,1917,Geophysical,Earthquake,,CHN,China,Eastern Asia,Asia,28,104,07:00,
43,1917,Hydrological,Flood,,CHN,China,Eastern Asia,Asia,,,,
44,1917,Geophysical,Earthquake,,GTM,Guatemala,Central America,Americas,14.38,-90.22,22:27,
45,1917,Geophysical,Earthquake,,IDN,Indonesia,South-Eastern Asia,Asia,-7,116,07:08,
46,1918,Geophysical,Earthquake,,CHN,China,Eastern Asia,Asia,23.5,117,14:07,
47,1918,Biological,Epidemic,Influenza,BGD,Bangladesh,Southern Asia,Asia,,,,
48,1918,Biological,Epidemic,Spanish Influenza,CAN,Canada,Northern America,Americas,,,,
49,1919,Biological,Epidemic,,AIA,Anguilla,Caribbean,Americas,,,,
50,1919,Climatological,Drought,,AIA,Anguilla,Caribbean,Americas,,,,
51,1919,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,
52,1919,Geophysical,Volcanic activity,Mt. Kelud,IDN,Indonesia,South-Eastern Asia,Asia,,,,
53,1920,Geophysical,Earthquake,,CHN,China,Eastern Asia,Asia,36.888,105.606,19:11,25000.0
54,1920,Climatological,Drought,,CPV,Cabo Verde,Western Africa,Africa,,,,
55,1920,Biological,Epidemic,,AIA,Anguilla,Caribbean,Americas,,,,
56,1920,Climatological,Drought,,CHN,China,Eastern Asia,Asia,,,,
57,1920,Hydrological,Flood,,DFR,Germany,Western Europe,Europe,,,,20000.0
58,1920,Biological,Epidemic,Bubonic,IND,India,Southern Asia,Asia,,,,
59,1920,Biological,Epidemic,Cholera,IND,India,Southern Asia,Asia,,,,
60,1921,Biological,Epidemic,,AIA,Anguilla,Caribbean,Americas,,,,
61,1922,Geophysical,Earthquake,,CHL,Chile,South America,Americas,-28.553,-70.755,00:32,
62,1922,Biological,Epidemic,,AIA,Anguilla,Caribbean,Americas,,,,
63,1922,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,
64,1922,Climatological,Wildfire,,CAN,Canada,Northern America,Americas,,,,8000.0
65,1922,Meteorological,Storm,,CHN,China,Eastern Asia,Asia,,,,
66,1923,Biological,Epidemic,,AIA,Anguilla,Caribbean,Americas,,,,
67,1923,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,
68,1923,Geophysical,Earthquake,,CHN,China,Eastern Asia,Asia,31.295,100.75,19:46,
69,1923,Meteorological,Storm,,HKG,Hong Kong,Eastern Asia,Asia,,,,
70,1924,Geophysical,Earthquake,,ECU,Ecuador,South America,Americas,-1.29,-78.52,03:01,
71,1924,Geophysical,Earthquake,,IDN,Indonesia,South-Eastern Asia,Asia,-7.21,109.56,,
72,1924,Meteorological,Storm,,IND,India,Southern Asia,Asia,,,,
73,1924,Biological,Epidemic,Cholera,IND,India,Southern Asia,Asia,,,,
74,1925,Geophysical,Earthquake,,CHN,China,Eastern Asia,Asia,25.713,100.422,21:48,
75,1925,Hydrological,Flood,,DFR,Germany,Western Europe,Europe,,,,19000.0
76,1925,Meteorological,Storm,,IND,India,Southern Asia,Asia,,,,
77,1926,Hydrological,Flood,,BEL,Belgium,Western Europe,Europe,,,,
78,1926,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,
79,1926,Meteorological,Storm,,BHS,Bahamas,Caribbean,Americas,,,,
80,1926,Hydrological,Landslide,,COL,Colombia,South America,Americas,,,,
81,1926,Meteorological,Storm,,CUB,Cuba,Caribbean,Americas,,,,
82,1926,Hydrological,Flood,,DFR,Germany,Western Europe,Europe,,,,31000.0
83,1926,Geophysical,Earthquake,,EGY,Egypt,Northern Africa,Africa,30.03 N,31.15 E,,
84,1926,Hydrological,Landslide,,FRA,France,Western Europe,Europe,,,,
85,1926,Hydrological,Flood,,IND,India,Southern Asia,Asia,,,,
86,1926,Biological,Epidemic,,IND,India,Southern Asia,Asia,,,,
87,1927,Geophysical,Earthquake,,IDN,Indonesia,South-Eastern Asia,Asia,-0.842,120.764,11:37,
88,1927,Geophysical,Earthquake,,CHN,China,Eastern Asia,Asia,37.645,102.489,05:38,
89,1927,Meteorological,Storm,,CHN,China,Eastern Asia,Asia,,,,
90,1927,Hydrological,Flood,,DZA,Algeria,Northern Africa,Africa,,,,
91,1927,Meteorological,Storm,,IND,India,Southern Asia,Asia,,,,
92,1927,Meteorological,Storm,,IND,India,Southern Asia,Asia,,,,
93,1928,Hydrological,Flood,,BEL,Belgium,Western Europe,Europe,,,,
94,1928,Geophysical,Earthquake,,BGR,Bulgaria,Eastern Europe,Europe,,,,
95,1928,Geophysical,Earthquake,,CAN,Canada,Northern America,Americas,48.60 N,58.00 W,,
96,1928,Geophysical,Earthquake,,CHL,Chile,South America,Americas,35.28 S,71.40 W,,
97,1928,Climatological,Drought,,CHN,China,Eastern Asia,Asia,,,,
98,1928,Meteorological,Storm,Felipe,GLP,Guadeloupe,Caribbean,Americas,,,,
99,1928,Geophysical,Earthquake,,GRC,Greece,Southern Europe,Europe,38.00 N,23.44 E,,
100,1928,Geophysical,Earthquake,,IDN,Indonesia,South-Eastern Asia,Asia,8.30 S,121.70 E,,
101,1929,Meteorological,Storm,,BHS,Bahamas,Caribbean,Americas,,,,
102,1929,Meteorological,Storm,,DFR,Germany,Western Europe,Europe,,,,55000.0
103,1930,Hydrological,Flood,,BEL,Belgium,Western Europe,Europe,,,,
104,1930,Meteorological,Storm,,BEL,Belgium,Western Europe,Europe,,,,
105,1930,Meteorological,Storm,,DMA,Dominica,Caribbean,Americas,,,,
106,1930,Meteorological,Storm,San Zenon,DOM,Dominican Republic,Caribbean,Americas,,,,40000.0
107,1930,Hydrological,Landslide,,FRA,France,Western Europe,Europe,,,,
108,1930,Meteorological,Storm,,GRC,Greece,Southern Europe,Europe,,,,
109,1930,Geophysical,Volcanic activity,Mt. Merapi,IDN,Indonesia,South-Eastern Asia,Asia,,,,
110,1931,Climatological,Drought,,CAN,Canada,Northern America,Americas,,,,
111,1931,Hydrological,Flood,,CHN,China,Eastern Asia,Asia,,,,1400000.0
112,1931,Meteorological,Storm,,BLZ,Belize,Central America,Americas,,,,7500.0
113,1931,Hydrological,Landslide,,ECU,Ecuador,South America,Americas,,,,
114,1931,Meteorological,Storm,,FJI,Fiji,Melanesia,Oceania,,,,
115,1931,Meteorological,Storm,,HND,Honduras,Central America,Americas,,,,
116,1931,Geophysical,Volcanic activity,Mt. Merapi,IDN,Indonesia,South-Eastern Asia,Asia,,,,
117,1932,Meteorological,Storm,,CUB,Cuba,Caribbean,Americas,,,,
118,1932,Hydrological,Landslide,,FRA,France,Western Europe,Europe,,,,
119,1932,Geophysical,Earthquake,,IDN,Indonesia,South-Eastern Asia,Asia,0.5,126,21:08,
120,1933,Geophysical,Earthquake,,CHN,China,Eastern Asia,Asia,31.9,103.4,14:50,
121,1933,Hydrological,Flood,,CHN,China,Eastern Asia,Asia,,,,
122,1934,Hydrological,Landslide,,CHN,China,Eastern Asia,Asia,,,,
123,1935,Meteorological,Storm,,BHS,Bahamas,Caribbean,Americas,,,,
124,1935,Hydrological,Flood,,CHN,China,Eastern Asia,Asia,,,,
125,1935,Meteorological,Storm,,CUB,Cuba,Caribbean,Americas,,,,
126,1935,Meteorological,Storm,Jeremie & Jacmel,HTI,Haiti,Caribbean,Americas,,,,
127,1935,Meteorological,Storm,,IND,India,Southern Asia,Asia,,,,
128,1936,Geophysical,Earthquake,,IDN,Indonesia,South-Eastern Asia,Asia,6.1,94.7,04:12,
129,1936,Meteorological,Extreme temperature ,,CAN,Canada,Northern America,Americas,,,,
130,1936,Geophysical,Earthquake,,IDN,Indonesia,South-Eastern Asia,Asia,3.5,97.5,,
131,1936,Meteorological,Storm,,IND,India,Southern Asia,Asia,,,,
132,1937,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,
133,1937,Meteorological,Storm,,HKG,Hong Kong,Eastern Asia,Asia,,,,
134,1938,Geophysical,Earthquake,,IDN,Indonesia,South-Eastern Asia,Asia,-0.557,118.881,01:08,
135,1939,Geophysical,Earthquake,,CHL,Chile,South America,Americas,-36.305,-72.315,23:32,920000.0
136,1939,Geophysical,Earthquake,,GHA,Ghana,Western Africa,Africa,5.552,-0.628,19:19,
137,1939,Climatological,Wildfire,,AUS,Australia,Australia and New Zealand,Oceania,,,,
138,1939,Hydrological,Flood,,CHN,China,Eastern Asia,Asia,,,,
139,1940,Climatological,Drought,,BFA,Burkina Faso,Western Africa,Africa,,,,
140,1940,Climatological,Drought,,CPV,Cabo Verde,Western Africa,Africa,,,,
141,1940,Climatological,Drought,,GMB,Gambia,Western Africa,Africa,,,,
142,1940,Climatological,Drought,,GNB,Guinea-Bissau,Western Africa,Africa,,,,
143,1941,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,
144,1941,Meteorological,Storm,,FJI,Fiji,Melanesia,Oceania,,,,
145,1942,Climatological,Drought,,IND,India,Southern Asia,Asia,,,,
146,1942,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,
147,1942,Geophysical,Earthquake,,CHN,China,Eastern Asia,Asia,,,,
148,1942,Meteorological,Storm,,COK,Cook Islands,Polynesia,Oceania,,,,
149,1942,Geophysical,Earthquake,,ECU,Ecuador,South America,Americas,-0.025,-79.955,21:13,2500.0
150,1942,Meteorological,Storm,,IND,India,Southern Asia,Asia,,,,
151,1943,Geophysical,Earthquake,,CHL,Chile,South America,Americas,-31.432,-71.475,12:07,100000.0
152,1943,Climatological,Drought,,BGD,Bangladesh,Southern Asia,Asia,,,,
153,1943,Meteorological,Storm,,COK,Cook Islands,Polynesia,Oceania,,,,
154,1943,Geophysical,Earthquake,,IDN,Indonesia,South-Eastern Asia,Asia,-8.591,109.803,23:53,
155,1943,Meteorological,Storm,,IND,India,Southern Asia,Asia,,,,
156,1944,Meteorological,Storm,,CUB,Cuba,Caribbean,Americas,,,,
157,1944,Geophysical,Earthquake,,ARG,Argentina,South America,Americas,-31.372,68.436,20:49,100000.0
158,1944,Climatological,Wildfire,,AUS,Australia,Australia and New Zealand,Oceania,,,,
159,1944,Meteorological,Storm,,IND,India,Southern Asia,Asia,,,,
160,1945,Biological,Epidemic,Polio,BEL,Belgium,Western Europe,Europe,,,,
161,1945,Meteorological,Storm,,BHS,Bahamas,Caribbean,Americas,,,,
162,1945,Meteorological,Storm,,IND,India,Southern Asia,Asia,,,,
163,1946,Geophysical,Earthquake,,CHL,Chile,South America,Americas,-26.5,-70.5,15:18,
164,1946,Geophysical,Earthquake,,DOM,Dominican Republic,Caribbean,Americas,19.25,-69,13:51,
165,1946,Climatological,Drought,,CPV,Cabo Verde,Western Africa,Africa,,,,
166,1946,Meteorological,Storm,,AZO,Azores Islands,Southern Europe,Europe,,,,
167,1946,Meteorological,Storm,,CAN,Canada,Northern America,Americas,,,,500.0
168,1946,Meteorological,Storm,,COK,Cook Islands,Polynesia,Oceania,,,,
169,1946,Geophysical,Earthquake,,DZA,Algeria,Northern Africa,Africa,35.75,5,03:43,
170,1947,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,
171,1947,Climatological,Drought,,BGD,Bangladesh,Southern Asia,Asia,,,,
172,1947,Biological,Epidemic,Cholera,EGY,Egypt,Northern Africa,Africa,,,,
173,1947,Meteorological,Storm,,HKG,Hong Kong,Eastern Asia,Asia,,,,
174,1948,Meteorological,Storm,,BMU,Bermuda,Northern America,Americas,,,,
175,1948,Hydrological,Flood,,BRA,Brazil,South America,Americas,,,,
176,1948,Geophysical,Volcanic activity,,CHL,Chile,South America,Americas,,,,
177,1948,Meteorological,Storm,,CHN,China,Eastern Asia,Asia,,,,
178,1948,Meteorological,Storm,,CHN,China,Eastern Asia,Asia,,,,
179,1948,Hydrological,Flood,,CHN,China,Eastern Asia,Asia,,,,
180,1948,Meteorological,Storm,,CUB,Cuba,Caribbean,Americas,,,,12000.0
181,1948,Meteorological,Storm,,CUB,Cuba,Caribbean,Americas,,,,6000.0
182,1948,Hydrological,Landslide,,IND,India,Southern Asia,Asia,,,,
183,1949,Geophysical,Earthquake,,ECU,Ecuador,South America,Americas,-1.5,-78.2,14:08,20000.0
184,1949,Geophysical,Earthquake,,CHL,Chile,South America,Americas,-38,-73.5,23:29,39000.0
185,1949,Geophysical,Earthquake,,CHL,Chile,South America,Americas,-54,-71,02:53,5200.0
186,1949,Meteorological,Storm,,BRA,Brazil,South America,Americas,,,,
187,1949,Hydrological,Flood,,CHN,China,Eastern Asia,Asia,,,,
188,1949,Geophysical,Volcanic activity,Purace,COL,Colombia,South America,Americas,,,,
189,1949,Climatological,Wildfire,,FRA,France,Western Europe,Europe,,,,
190,1949,Hydrological,Flood,,GTM,Guatemala,Central America,Americas,,,,15000.0
191,1949,Meteorological,Storm,,IND,India,Southern Asia,Asia,,,,
192,1950,Geophysical,Earthquake,,IND,India,Southern Asia,Asia,28.5,96.5,19:39,20000.0
193,1950,Meteorological,Storm,Dog,ATG,Antigua and Barbuda,Caribbean,Americas,,,,1000.0
194,1950,Meteorological,Storm,,CAN,Canada,Northern America,Americas,,,,
195,1950,Hydrological,Flood,,CAN,Canada,Northern America,Americas,,,,100000.0
196,1950,Hydrological,Flood,,CHN,China,Eastern Asia,Asia,,,,
197,1950,Geophysical,Earthquake,,COL,Colombia,South America,Americas,7.8,-72.5,21:35,5000.0
198,1950,Hydrological,Flood,,ECU,Ecuador,South America,Americas,,,,
199,1950,Hydrological,Flood,,IND,India,Southern Asia,Asia,,,,
200,1951,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,
201,1951,Hydrological,Landslide,,CHE,Switzerland,Western Europe,Europe,,,,20000.0
202,1951,Hydrological,Flood,,CHN,China,Eastern Asia,Asia,,,,
203,1951,Meteorological,Storm,,COM,Comoros,Eastern Africa,Africa,,,,
204,1951,Geophysical,Volcanic activity,Mt. Merapi,IDN,Indonesia,South-Eastern Asia,Asia,,,,
205,1952,Hydrological,Landslide,,AUT,Austria,Western Europe,Europe,,,,
206,1952,Hydrological,Flood,,DZA,Algeria,Northern Africa,Africa,,,,
207,1952,Meteorological,Storm,,FJI,Fiji,Melanesia,Oceania,,,,2000.0
208,1952,Hydrological,Flood,,GBR,United Kingdom,Northern Europe,Europe,,,,
209,1952,Meteorological,Fog,,GBR,United Kingdom,Northern Europe,Europe,,,,
210,1952,Geophysical,Earthquake,,HTI,Haiti,Caribbean,Americas,18.3,73.2,,20000.0
211,1952,Meteorological,Storm,,IND,India,Southern Asia,Asia,,,,
212,1953,Geophysical,Earthquake,,CHL,Chile,South America,Americas,-37.093,-72.866,13:16,500000.0
213,1953,Geophysical,Earthquake,,CYP,Cyprus,Western Asia,Asia,34.741,32.335,06:06,
214,1953,Geophysical,Earthquake,,GRC,Greece,Southern Europe,Europe,38.182,20.942,09:23,100000.0
215,1953,Hydrological,Flood,,BEL,Belgium,Western Europe,Europe,,,,
216,1953,Biological,Epidemic,Polio,CAN,Canada,Northern America,Americas,,,,
217,1953,Geophysical,Earthquake,,CHL,Chile,South America,Americas,-22.1,-68.7,22:05,7310.0
218,1953,Meteorological,Storm,,DFR,Germany,Western Europe,Europe,,,,25000.0
219,1953,Hydrological,Flood,,ECU,Ecuador,South America,Americas,,,,
220,1953,Hydrological,Flood,,ESP,Spain,Southern Europe,Europe,,,,
221,1953,Hydrological,Flood,,IDN,Indonesia,South-Eastern Asia,Asia,,,,
222,1953,Meteorological,Extreme temperature ,,IND,India,Southern Asia,Asia,,,,
223,1954,Geophysical,Earthquake,,DZA,Algeria,Northern Africa,Africa,36.283,1.467,01:04,6000.0
224,1954,Geophysical,Earthquake,,AFG,Afghanistan,Southern Asia,Asia,36,66,,
225,1954,Meteorological,Storm,Alice,ANT,Netherlands Antilles,Caribbean,Americas,,,,
226,1954,Hydrological,Landslide,,AUT,Austria,Western Europe,Europe,,,,
227,1954,Hydrological,Landslide,,AUT,Austria,Western Europe,Europe,,,,
228,1954,Meteorological,Storm,Hazel,CAN,Canada,Northern America,Americas,,,,100000.0
229,1954,Hydrological,Flood,,CHN,China,Eastern Asia,Asia,,,,
230,1954,Hydrological,Flood,,CHN,China,Eastern Asia,Asia,,,,
231,1954,Hydrological,Landslide,,COL,Colombia,South America,Americas,,,,
232,1954,Hydrological,Landslide,,COL,Colombia,South America,Americas,,,,
233,1954,Hydrological,Flood,,EGY,Egypt,Northern Africa,Africa,,,,
234,1954,Geophysical,Earthquake,,GRC,Greece,Southern Europe,Europe,39.3,22.2,15:02,3150.0
235,1954,Hydrological,Landslide,,HTI,Haiti,Caribbean,Americas,,,,
236,1954,Meteorological,Storm,Hazel,HTI,Haiti,Caribbean,Americas,,,,
237,1954,Geophysical,Volcanic activity,,IDN,Indonesia,South-Eastern Asia,Asia,,,,
238,1954,Hydrological,Landslide,,IND,India,Southern Asia,Asia,,,,
239,1955,Meteorological,Storm,,IND,India,Southern Asia,Asia,,,,
240,1955,Meteorological,Storm,Alice,AIA,Anguilla,Caribbean,Americas,,,,
241,1955,Hydrological,Flood,,AUS,Australia,Australia and New Zealand,Oceania,,,,
242,1955,Meteorological,Storm,Janet,BLZ,Belize,Central America,Americas,,,,5000.0
243,1955,Meteorological,Storm,Janet,BRB,Barbados,Caribbean,Americas,,,,
244,1955,Geophysical,Mass movement (dry),,CAN,Canada,Northern America,Americas,,,,
245,1955,Geophysical,Earthquake,,CHN,China,Eastern Asia,Asia,30,101.8,08:29,
246,1955,Geophysical,Earthquake,,EGY,Egypt,Northern Africa,Africa,32.2,29.6,08:09,
247,1955,Hydrological,Landslide,,IDN,Indonesia,South-Eastern Asia,Asia,,,,
248,1955,Meteorological,Storm,,IND,India,Southern Asia,Asia,,,,
249,1956,Geophysical,Earthquake,,GRC,Greece,Southern Europe,Europe,36.664,25.957,05:11,
250,1956,Geophysical,Earthquake,,AFG,Afghanistan,Southern Asia,Asia,35.1,67.5,,25000.0
251,1956,Hydrological,Flood,,AFG,Afghanistan,Southern Asia,Asia,,,,
252,1956,Hydrological,Flood,,BEL,Belgium,Western Europe,Europe,,,,
253,1956,Hydrological,Landslide,,BRA,Brazil,South America,Americas,,,,
254,1956,Hydrological,Landslide,,BRA,Brazil,South America,Americas,,,,
255,1956,Meteorological,Storm,,CHN,China,Eastern Asia,Asia,,,,
256,1956,Hydrological,Flood,,CHN,China,Eastern Asia,Asia,,,,
257,1956,Geophysical,Earthquake,,ESP,Spain,Southern Europe,Europe,37,-4,,
258,1956,Meteorological,Storm,Betsy,GLP,Guadeloupe,Caribbean,Americas,,,,
259,1956,Meteorological,Storm,,IDN,Indonesia,South-Eastern Asia,Asia,,,,
260,1956,Geophysical,Earthquake,,IND,India,Southern Asia,Asia,23,70,21:02,
261,1956,Hydrological,Landslide,,IND,India,Southern Asia,Asia,,,,
262,1956,Meteorological,Storm,,IND,India,Southern Asia,Asia,,,,
263,1957,Hydrological,Flood,,BRA,Brazil,South America,Americas,,,,
264,1957,Hydrological,Flood,,CHN,China,Eastern Asia,Asia,,,,
265,1957,Hydrological,Flood,,ESP,Spain,Southern Europe,Europe,,,,
266,1957,Meteorological,Storm,Gloria,HKG,Hong Kong,Eastern Asia,Asia,,,,
267,1958,Hydrological,Flood,,ARG,Argentina,South America,Americas,,,,
268,1958,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,
269,1958,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,
270,1958,Geophysical,Earthquake,,CHL,Chile,South America,Americas,,,,10100.0
271,1958,Meteorological,Storm,,FJI,Fiji,Melanesia,Oceania,,,,
272,1958,Hydrological,Flood,,FRA,France,Western Europe,Europe,,,,
273,1958,Geophysical,Earthquake,,IDN,Indonesia,South-Eastern Asia,Asia,-9.5,112.5,08:42,
274,1958,Hydrological,Landslide,,IND,India,Southern Asia,Asia,,,,
275,1958,Meteorological,Extreme temperature ,,IND,India,Southern Asia,Asia,,,,
276,1959,Hydrological,Flood,,CHN,China,Eastern Asia,Asia,,,,
277,1959,Meteorological,Storm,,BRA,Brazil,South America,Americas,,,,
278,1959,Hydrological,Flood,,BRA,Brazil,South America,Americas,,,,
279,1959,Meteorological,Storm,,CAN,Canada,Northern America,Americas,,,,
280,1959,Meteorological,Storm,Ellen,CHN,China,Eastern Asia,Asia,,,,
281,1959,Meteorological,Storm,Iris,CHN,China,Eastern Asia,Asia,,,,
282,1959,Hydrological,Flood,,CHN,China,Eastern Asia,Asia,,,,
283,1959,Hydrological,Flood,,COL,Colombia,South America,Americas,,,,
284,1959,Meteorological,Storm,,HKG,Hong Kong,Eastern Asia,Asia,,,,
285,1959,Hydrological,Flood,,HTI,Haiti,Caribbean,Americas,,,,
286,1960,Geophysical,Earthquake,,CHL,Chile,South America,Americas,-38.143,-73.407,15-11,550000.0
287,1960,Meteorological,Storm,Donna,AIA,Anguilla,Caribbean,Americas,,,,35000.0
288,1960,Meteorological,Storm,Donna,ANT,Netherlands Antilles,Caribbean,Americas,,,,
289,1960,Meteorological,Storm,Donna,ATG,Antigua and Barbuda,Caribbean,Americas,,,,
290,1960,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,
291,1960,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,
292,1960,Hydrological,Flood,,BGD,Bangladesh,Southern Asia,Asia,,,,
293,1960,Geophysical,Earthquake,,DZA,Algeria,Northern Africa,Africa,36,4.1,09:13,
294,1960,Meteorological,Storm,Mary,HKG,Hong Kong,Eastern Asia,Asia,,,,
295,1960,Climatological,Drought,,HKG,Hong Kong,Eastern Asia,Asia,,,,
296,1960,Hydrological,Flood,,HKG,Hong Kong,Eastern Asia,Asia,,,,
297,1961,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,11900.0
298,1961,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,
299,1961,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,
300,1961,Meteorological,Storm,Hattie,BLZ,Belize,Central America,Americas,,,,60000.0
301,1961,Climatological,Drought,,CAN,Canada,Northern America,Americas,,,,
302,1961,Geophysical,Earthquake,,ETH,Ethiopia,Eastern Africa,Africa,10.4,39.9,02:29,
303,1961,Hydrological,Landslide,,FRA,France,Western Europe,Europe,,,,
304,1961,Meteorological,Storm,,GRC,Greece,Southern Europe,Europe,,,,
305,1961,Meteorological,Storm,Olga,HKG,Hong Kong,Eastern Asia,Asia,,,,
306,1961,Hydrological,Flood,,HKG,Hong Kong,Eastern Asia,Asia,,,,
307,1961,Meteorological,Storm,,HND,Honduras,Central America,Americas,,,,
308,1961,Meteorological,Extreme temperature ,,IND,India,Southern Asia,Asia,,,,
309,1962,Geophysical,Earthquake,,ALB,Albania,Southern Europe,Europe,40.9,19.5,16:30,
310,1962,Meteorological,Storm,,CAN,Canada,Northern America,Americas,,,,
311,1962,Geophysical,Earthquake,,COL,Colombia,South America,Americas,5.173,-76.352,13:53,
312,1962,Hydrological,Flood,,COL,Colombia,South America,Americas,,,,
313,1962,Meteorological,Storm,,DFR,Germany,Western Europe,Europe,,,,600000.0
314,1962,Hydrological,Flood,,ESP,Spain,Southern Europe,Europe,,,,80000.0
315,1962,Meteorological,Storm,Karen,GUM,Guam,Micronesia,Oceania,,,,250000.0
316,1962,Meteorological,Storm,Wanda,HKG,Hong Kong,Eastern Asia,Asia,,,,
317,1962,Hydrological,Flood,,HTI,Haiti,Caribbean,Americas,,,,
318,1963,Hydrological,Flood,,AFG,Afghanistan,Southern Asia,Asia,,,,
319,1963,Meteorological,Extreme temperature ,,BEL,Belgium,Western Europe,Europe,,,,
320,1963,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,50000.0
321,1963,Meteorological,Storm,,BGD,Bangladesh,Southern Asia,Asia,,,,
322,1963,Hydrological,Flood,,BGD,Bangladesh,Southern Asia,Asia,,,,
323,1963,Meteorological,Storm,Flora,BHS,Bahamas,Caribbean,Americas,,,,1500.0
324,1963,Geophysical,Volcanic activity,,CRI,Costa Rica,Central America,Americas,,,,
325,1963,Meteorological,Storm,Flora,CUB,Cuba,Caribbean,Americas,,,,500000.0
